,slope,adj_slope,intercept
^GSPC + ^FTSE,7.337051967217822e-06,0.018342629918044553,0.7855174114047807
^GSPC + ^GDAXIP,1.844647228814052e-05,0.0461161807203513,0.7589331274702555
^GSPC + ^ATX,3.6002365548157335e-05,0.09000591387039333,0.5611264542679874
^GSPC + ^FCHI,1.5200934112978652e-05,0.03800233528244663,0.7668106475168937
^GSPC + ^SSMI,1.7652699775935057e-05,0.04413174943983764,0.702186856694873
^GSPC + ^AEX,1.6390720762981814e-05,0.040976801907454535,0.7613455038286093
^GSPC + ^BFX,2.9278012787447343e-05,0.07319503196861836,0.6359998072874338
^GSPC + ^N225,5.9299367433235885e-05,0.1482484185830897,0.4020846429360476
^GSPC + ^HSI,1.26742993363172e-05,0.031685748340793,0.6361925162376048
^GSPC + ^SSEC,6.267669331098637e-05,0.15669173327746594,0.01033675488013816
^GSPC + ^STI,3.842997256373592e-05,0.0960749314093398,0.5314278440758171
^GSPC + ^AORD,6.724880248907226e-06,0.016812200622268063,0.7181036603642529
^GSPC + ^BSESN,6.260539679455429e-05,0.15651349198638573,0.3588824469157341
^GSPC + ^KLSE,2.7537685875433563e-05,0.06884421468858391,0.4029893707484064
^GSPC + ^KS11,6.213334014214871e-05,0.15533335035537177,0.36057272154033054
^GSPC + ^GSPTSE,7.570796610169957e-06,0.018926991525424892,0.8027620549683097
^GSPC + ^MXX,7.235942272506294e-06,0.018089855681265733,0.6996294181508254
^FTSE + ^GDAXIP,7.186973174938329e-06,0.01796743293734582,0.8035858067761369
^FTSE + ^ATX,1.815255331330583e-05,0.045381383283264576,0.6770201483421724
^FTSE + ^FCHI,7.997118885909086e-06,0.019992797214772713,0.8438836272463407
^FTSE + ^SSMI,2.1840229516729348e-06,0.005460057379182337,0.8023008109257149
^FTSE + ^AEX,7.716225226948562e-06,0.019290563067371407,0.8382776335026136
^FTSE + ^BFX,1.5588191918201187e-05,0.038970479795502964,0.7285931115231824
^FTSE + ^N225,4.587194590683884e-05,0.1146798647670971,0.41002778262536543
^FTSE + ^HSI,1.7120216734943244e-05,0.042800541837358104,0.6299008054714911
^FTSE + ^SSEC,5.174132421535919e-05,0.12935331053839796,0.060099980036869616
^FTSE + ^STI,3.7109979286016414e-05,0.09277494821504104,0.5431629560915342
^FTSE + ^AORD,9.729689527306801e-06,0.024324223818267005,0.7093004528686224
^FTSE + ^BSESN,5.1241276720896034e-05,0.12810319180224009,0.34082157616600994
^FTSE + ^KLSE,2.638657768815046e-05,0.06596644422037615,0.4151212585035111
^FTSE + ^KS11,5.158725848237737e-05,0.1289681462059434,0.4209341239859937
^FTSE + ^GSPTSE,1.6640912409365817e-05,0.04160228102341454,0.7233767930959212
^FTSE + ^MXX,-1.9187831282935074e-06,-0.004796957820733768,0.6922122399735977
^GDAXIP + ^ATX,2.2281231626851955e-05,0.05570307906712989,0.7344556766611485
^GDAXIP + ^FCHI,1.2966133713320272e-05,0.03241533428330068,0.8772515052227017
^GDAXIP + ^SSMI,8.4539250403908e-06,0.021134812600977004,0.7921495841696106
^GDAXIP + ^AEX,4.237613594118878e-06,0.010594033985297197,0.9000088385256297
^GDAXIP + ^BFX,1.2783500084071361e-05,0.031958750210178404,0.8123401406294232
^GDAXIP + ^N225,5.9818002900595876e-05,0.1495450072514897,0.4455676972233167
^GDAXIP + ^HSI,1.0766711921623224e-05,0.026916779804058058,0.647327488119181
^GDAXIP + ^SSEC,4.2532762084488456e-05,0.10633190521122116,0.12869456172943491
^GDAXIP + ^STI,3.15186240415985e-05,0.07879656010399624,0.5758427457444665
^GDAXIP + ^AORD,6.2361441041907885e-06,0.015590360260476971,0.7232073800742771
^GDAXIP + ^BSESN,4.61438928185946e-05,0.1153597320464865,0.4045882095623081
^GDAXIP + ^KLSE,8.738033542824161e-06,0.021845083857060403,0.49120419230667006
^GDAXIP + ^KS11,7.390533075944187e-05,0.18476332689860464,0.38589036118536124
^GDAXIP + ^GSPTSE,1.2894576621605809e-05,0.03223644155401452,0.72841559290306
^GDAXIP + ^MXX,-8.114603253267934e-07,-0.0020286508133169835,0.6787418514665916
^ATX + ^FCHI,3.1503876773457696e-05,0.07875969193364424,0.6882543631777283
^ATX + ^SSMI,1.9568857004613867e-05,0.048922142511534664,0.6281647267830239
^ATX + ^AEX,2.0267824002587592e-05,0.05066956000646898,0.7185354916721652
^ATX + ^BFX,2.478558950812275e-05,0.06196397377030688,0.6913234282637469
^ATX + ^N225,6.032656297742624e-05,0.1508164074435656,0.3792253770374952
^ATX + ^HSI,3.5990794991239424e-05,0.08997698747809856,0.5289315711133941
^ATX + ^SSEC,5.9913358728946525e-05,0.14978339682236633,0.10066436257798947
^ATX + ^STI,3.938465405381606e-05,0.09846163513454015,0.5199731898652823
^ATX + ^AORD,9.42391791744882e-06,0.023559794793622052,0.6556363307464307
^ATX + ^BSESN,2.1285634056025833e-05,0.053214085140064586,0.47543935396910886
^ATX + ^KLSE,3.692506259114398e-06,0.009231265647785994,0.5404746174650039
^ATX + ^KS11,6.658635897833685e-05,0.16646589744584211,0.3802682402202606
^ATX + ^GSPTSE,6.607410644481914e-06,0.016518526611204787,0.7068569087543763
^ATX + ^MXX,5.754670674631764e-06,0.01438667668657941,0.6470658849676255
^FCHI + ^SSMI,1.1471004338264635e-05,0.028677510845661586,0.8105956711166361
^FCHI + ^AEX,1.2775881699363258e-05,0.03193970424840814,0.8802568304301014
^FCHI + ^BFX,1.9682228385333732e-05,0.04920557096333433,0.8107652647366174
^FCHI + ^N225,5.24395065514351e-05,0.13109876637858775,0.48517672398119904
^FCHI + ^HSI,2.060643199798985e-05,0.05151607999497462,0.5907052610967035
^FCHI + ^SSEC,4.479541732508288e-05,0.11198854331270719,0.08496947532451296
^FCHI + ^STI,3.620519994158597e-05,0.09051299985396492,0.5517678919584222
^FCHI + ^AORD,1.4139587637134409e-05,0.035348969092836025,0.6845077095865375
^FCHI + ^BSESN,4.352181755982974e-05,0.10880454389957434,0.384644948399099
^FCHI + ^KLSE,2.040952302838849e-05,0.05102380757097123,0.41084516203584326
^FCHI + ^KS11,6.443384792863683e-05,0.16108461982159208,0.39692151007306986
^FCHI + ^GSPTSE,1.2851141188260327e-05,0.03212785297065082,0.7233461032286007
^FCHI + ^MXX,-5.606094659848791e-06,-0.014015236649621978,0.6831406719539278
^SSMI + ^AEX,4.051723074350834e-06,0.010129307685877085,0.8609226974558329
^SSMI + ^BFX,1.3154606642489213e-05,0.03288651660622303,0.7870387698759393
^SSMI + ^N225,5.799133274179791e-05,0.14497833185449477,0.3673270831739054
^SSMI + ^HSI,4.875289117764451e-06,0.01218822279441113,0.5584479158916557
^SSMI + ^SSEC,2.4406863632860786e-05,0.06101715908215197,0.1494049801242079
^SSMI + ^STI,3.138984631154192e-05,0.07847461577885478,0.4783673014800369
^SSMI + ^AORD,1.1808972965032865e-05,0.029522432412582164,0.6298560553690615
^SSMI + ^BSESN,5.7618297813398525e-05,0.14404574453349633,0.25878702556119737
^SSMI + ^KLSE,1.0828698396705822e-05,0.027071745991764554,0.37969796448576487
^SSMI + ^KS11,4.16867591841631e-05,0.10421689796040774,0.3747104341432772
^SSMI + ^GSPTSE,1.2111414696931835e-05,0.030278536742329585,0.636735238051162
^SSMI + ^MXX,2.256833351440832e-06,0.005642083378602079,0.5513492076222961
^AEX + ^BFX,9.409769844474064e-06,0.02352442461118516,0.8568413242217271
^AEX + ^N225,5.137813462654189e-05,0.12844533656635473,0.46520768907337656
^AEX + ^HSI,8.030607863019181e-06,0.02007651965754795,0.6545729394831041
^AEX + ^SSEC,3.9127899584092615e-05,0.09781974896023155,0.136883426906611
^AEX + ^STI,2.9265926135118755e-05,0.07316481533779688,0.5781781843983922
^AEX + ^AORD,9.705784055712962e-09,2.4264460139282407e-05,0.744828433129326
^AEX + ^BSESN,4.660294135793242e-05,0.11650735339483105,0.39577395885526756
^AEX + ^KLSE,1.4418184292687117e-05,0.03604546073171779,0.4515195760546601
^AEX + ^KS11,5.421792590043103e-05,0.1355448147510776,0.4511181601381491
^AEX + ^GSPTSE,1.1542124030095692e-05,0.02885531007523923,0.7337805760628962
^AEX + ^MXX,-8.428839546571312e-06,-0.02107209886642828,0.7293236436021279
^BFX + ^N225,7.361263416133003e-05,0.18403158540332507,0.2924811691761513
^BFX + ^HSI,2.8725140551892855e-05,0.07181285137973213,0.4977289377488994
^BFX + ^SSEC,5.575398271086006e-05,0.13938495677715015,0.027668193688476034
^BFX + ^STI,3.891233913935331e-05,0.09728084784838328,0.5008649253549041
^BFX + ^AORD,7.263230649022008e-06,0.018158076622555024,0.6919917929314673
^BFX + ^BSESN,6.406693100083044e-05,0.1601673275020761,0.2660828062824644
^BFX + ^KLSE,1.7705194332113885e-05,0.044262985830284714,0.37570119914521305
^BFX + ^KS11,6.645007627568494e-05,0.16612519068921233,0.3382988283833402
^BFX + ^GSPTSE,2.1634891329027902e-05,0.05408722832256976,0.6174004902086643
^BFX + ^MXX,-4.501795132377037e-06,-0.011254487830942591,0.6429931174369866
