"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","274636871.50838","333798882.681564","467821229.05028","522290502.793296","738324022.346369","1576368715.0838","1628324022.34637","1740167597.76536","1858268156.42458","2042513966.48044","2590223463.68715","2749888268.15642","2111340782.12291","1671173184.35755","1582860335.19553","1694832402.23464","1754430167.59777","1876402234.63688","4344301675.97766","5528813425.82695","5647605675.95685","6386815642.4581","7000446927.3743","3293966480.44692","2259720670.39106","7046201117.31843","3020670391.06146","2471623248.04469","2409823859.77653","2306305827.93296","2195867958.10056","","","",
"Afghanistan","AFG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","797400000","924500000","1080500000","989600000","1062900000","1419400000","1084300000","1354700000","1072100000","863300000","734800000","","","","","","","","","","","","","","","","","","","2316127320.29984","4195521042.77259","5926693154.29926","7361314393.91887","9893373787.84938","10190421719.6552","8448401720.26369","8576727107.8451","7388060454.22893","8010901025.09041","8079254702.99546","",
"Angola","AGO","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2256000000","1906000000","2020000000","3121000000","3292000000","4161400000","4243400000","4828396000","3851900000","3764700000","4302257000","5980445000","6235550000","5717790000","7099810000","7454210000","8281270000","8734464801.86","10539996160","13156086146.21","19200860208.5178","22611733343.4","34526294540.22","57261377694.671","48783824988","43642118667.18","53805471322.3596","56529763171.9595","60111411120.5794","63033383446.1602","44042657939.7134","31271502805.9801","36001581967.7029","34165372003.5361","",
"Albania","ALB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","375300000","404100000","461100000","406000000","373400000","362900000","337000000","336300000","409200000","484200000","486900000","340300000","667300000","794400000","774800000","864600000","1123300000","697612500","792180000","956400000","1359600000","1608700000","1848090000","2290296334.14308","2921069546.113","3552961514.68275","4142215603.40901","5429247205.62995","7146688209.08857","6598438373.47801","6279139430.06638","7007740981.26061","6185327535.83757","6159382111.77533","6562951490.63423","5351583367.82553","5700813018.93231","6549610684.31048","7334165155.14507","",
"Andorra","AND","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","132347287245.838","157718075645.972","198751716508.127","246814553804.968","297734012634.892","281858869814.604","269065648457.465","255007774377.598","216096982641.882","181110161210.145","181773893978.339","188015276528.673","203967274038.725","230593483989.365","273355838764.421","277600904304.318","256992887677.642","239615534417.326","258991908689.426","276540511727.446","286193343323.364","272937948868.956","270545333101.563","298345303074.104","291476233407.786","301468869549.123","339242025585.086","419412148171.872","514980858181.052","603969561361.269","745803075559.623","939607741394.234","842475320907.425","915568728116.096","1039252370086.72","1166384943092.96","1234787060891.72","1294409527017.49","1148959984100.6","1034235262187.15","1086866779482.48","1182497852846.06","",
"United Arab Emirates","ARE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","4058000000","5643000000","6048000000","10486000000","15999000000","16495000000","12142000000","12216000000","12406000000","11281000000","11702000000","12633000000","12932000000","13355000000","13100000000","17572000000","24077634249.3714","27579629372.765","34312430277.0946","35039569701.3158","40120789491.5782","49143879017.4701","52335695781.9799","46468565966.3738","48036724583.4385","40679614586.4015","23867070000","29804090000","40827220000","46414160000","54669095826.854","67771052886.056","82901868928.7046","63532822514.5258","86092220688.1838","106727176904.111","99396394105.1624","105893333594.436","95112247276.0498","91086748083.8309","90436820509.4734","109388572124.142","111415926163.125","",
"Armenia","ARM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304329250","447285682.638888","763860761.254785","939928047.930536","1018358284.77441","1044998074.18281","941973576.374357","1030659258.72791","1123379892.78885","1261235746.41002","1602744849.89084","2008567017.20226","2520290987.85081","3035898215.23701","4334334440.17214","5513086608.66829","4442602404.30701","5127970681.39017","5623304799.55248","5823562500.21111","6052998426.11958","6177955730.98381","4875687484.26898","5118192127.86809","6333268369.4604","7396169535.3123","",
"American Samoa","ASM","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
