Datum;Eröffnungspreis;Tageshoch;Tagestief;Schlusspreis<sup>4</sup>;Diff.%;
"02.01.1991";"0,00";"1000,00";"0,00";"1000,00";"-";
"03.01.1991";"0,00";"1006,21";"0,00";"1006,21";"+0,62 %";
"04.01.1991";"0,00";"1019,55";"0,00";"1019,55";"+1,33 %";
"07.01.1991";"0,00";"985,60";"0,00";"985,60";"-3,33 %";
"08.01.1991";"0,00";"954,72";"0,00";"954,72";"-3,13 %";
"09.01.1991";"0,00";"964,24";"0,00";"964,24";"+1,00 %";
"10.01.1991";"0,00";"959,21";"0,00";"959,21";"-0,52 %";
"11.01.1991";"0,00";"966,54";"0,00";"966,54";"+0,76 %";
"14.01.1991";"0,00";"937,68";"0,00";"937,68";"-2,99 %";
"15.01.1991";"0,00";"921,55";"0,00";"921,55";"-1,72 %";
"16.01.1991";"0,00";"930,57";"0,00";"930,57";"+0,98 %";
"17.01.1991";"0,00";"1001,47";"0,00";"1001,47";"+7,62 %";
"18.01.1991";"0,00";"1010,00";"0,00";"1010,00";"+0,85 %";
"21.01.1991";"0,00";"989,80";"0,00";"989,80";"-2,00 %";
"22.01.1991";"0,00";"978,08";"0,00";"978,08";"-1,18 %";
"23.01.1991";"0,00";"960,39";"0,00";"960,39";"-1,81 %";
"24.01.1991";"0,00";"971,72";"0,00";"971,72";"+1,18 %";
"25.01.1991";"0,00";"973,99";"0,00";"973,99";"+0,23 %";
"28.01.1991";"0,00";"975,68";"0,00";"975,68";"+0,17 %";
"29.01.1991";"0,00";"979,61";"0,00";"979,61";"+0,40 %";
"30.01.1991";"0,00";"990,50";"0,00";"990,50";"+1,11 %";
"31.01.1991";"0,00";"1008,16";"0,00";"1008,16";"+1,78 %";
"01.02.1991";"0,00";"1005,48";"0,00";"1005,48";"-0,27 %";
"04.02.1991";"0,00";"1012,94";"0,00";"1012,94";"+0,74 %";
"05.02.1991";"0,00";"1024,26";"0,00";"1024,26";"+1,12 %";
"06.02.1991";"0,00";"1021,99";"0,00";"1021,99";"-0,22 %";
"07.02.1991";"0,00";"1024,89";"0,00";"1024,89";"+0,28 %";
"08.02.1991";"0,00";"1022,24";"0,00";"1022,24";"-0,26 %";
"11.02.1991";"0,00";"1038,67";"0,00";"1038,67";"+1,61 %";
"12.02.1991";"0,00";"1062,12";"0,00";"1062,12";"+2,26 %";
"13.02.1991";"0,00";"1063,43";"0,00";"1063,43";"+0,12 %";
"14.02.1991";"0,00";"1082,52";"0,00";"1082,52";"+1,80 %";
"15.02.1991";"0,00";"1134,94";"0,00";"1134,94";"+4,84 %";
"18.02.1991";"0,00";"1156,21";"0,00";"1156,21";"+1,87 %";
"19.02.1991";"0,00";"1184,64";"0,00";"1184,64";"+2,46 %";
"20.02.1991";"0,00";"1166,05";"0,00";"1166,05";"-1,57 %";
"21.02.1991";"0,00";"1153,80";"0,00";"1153,80";"-1,05 %";
"22.02.1991";"0,00";"1173,50";"0,00";"1173,50";"+1,71 %";
"25.02.1991";"0,00";"1193,22";"0,00";"1193,22";"+1,68 %";
"26.02.1991";"0,00";"1175,19";"0,00";"1175,19";"-1,51 %";
"27.02.1991";"0,00";"1159,66";"0,00";"1159,66";"-1,32 %";
"28.02.1991";"0,00";"1168,63";"0,00";"1168,63";"+0,77 %";
"01.03.1991";"0,00";"1152,73";"0,00";"1152,73";"-1,36 %";
"04.03.1991";"0,00";"1151,45";"0,00";"1151,45";"-0,11 %";
"05.03.1991";"0,00";"1156,11";"0,00";"1156,11";"+0,40 %";
"06.03.1991";"0,00";"1194,94";"0,00";"1194,94";"+3,36 %";
"07.03.1991";"0,00";"1196,89";"0,00";"1196,89";"+0,16 %";
"08.03.1991";"0,00";"1204,38";"0,00";"1204,38";"+0,63 %";
"11.03.1991";"0,00";"1194,64";"0,00";"1194,64";"-0,81 %";
"12.03.1991";"0,00";"1186,21";"0,00";"1186,21";"-0,71 %";
"13.03.1991";"0,00";"1178,39";"0,00";"1178,39";"-0,66 %";
"14.03.1991";"0,00";"1177,69";"0,00";"1177,69";"-0,06 %";
"15.03.1991";"0,00";"1178,48";"0,00";"1178,48";"+0,07 %";
"18.03.1991";"0,00";"1187,04";"0,00";"1187,04";"+0,73 %";
"19.03.1991";"0,00";"1177,80";"0,00";"1177,80";"-0,78 %";
"20.03.1991";"0,00";"1159,16";"0,00";"1159,16";"-1,58 %";
"21.03.1991";"0,00";"1172,50";"0,00";"1172,50";"+1,15 %";
"22.03.1991";"0,00";"1177,85";"0,00";"1177,85";"+0,46 %";
"25.03.1991";"0,00";"1179,76";"0,00";"1179,76";"+0,16 %";
"26.03.1991";"0,00";"1183,32";"0,00";"1183,32";"+0,30 %";
"27.03.1991";"0,00";"1184,07";"0,00";"1184,07";"+0,06 %";
"28.03.1991";"0,00";"1188,71";"0,00";"1188,71";"+0,39 %";
"02.04.1991";"0,00";"1194,38";"0,00";"1194,38";"+0,48 %";
"03.04.1991";"0,00";"1220,55";"0,00";"1220,55";"+2,19 %";
"04.04.1991";"0,00";"1226,65";"0,00";"1226,65";"+0,50 %";
"05.04.1991";"0,00";"1232,25";"0,00";"1232,25";"+0,46 %";
"08.04.1991";"0,00";"1238,80";"0,00";"1238,80";"+0,53 %";
"09.04.1991";"0,00";"1247,18";"0,00";"1247,18";"+0,68 %";
"10.04.1991";"0,00";"1233,11";"0,00";"1233,11";"-1,13 %";
"11.04.1991";"0,00";"1235,25";"0,00";"1235,25";"+0,17 %";
"12.04.1991";"0,00";"1239,34";"0,00";"1239,34";"+0,33 %";
"15.04.1991";"0,00";"1249,48";"0,00";"1249,48";"+0,82 %";
"16.04.1991";"0,00";"1257,96";"0,00";"1257,96";"+0,68 %";
"17.04.1991";"0,00";"1254,54";"0,00";"1254,54";"-0,27 %";
"18.04.1991";"0,00";"1250,21";"0,00";"1250,21";"-0,35 %";
"19.04.1991";"0,00";"1234,38";"0,00";"1234,38";"-1,27 %";
"22.04.1991";"0,00";"1214,29";"0,00";"1214,29";"-1,63 %";
"23.04.1991";"0,00";"1221,21";"0,00";"1221,21";"+0,57 %";
"24.04.1991";"0,00";"1228,85";"0,00";"1228,85";"+0,63 %";
"25.04.1991";"0,00";"1232,00";"0,00";"1232,00";"+0,26 %";
"26.04.1991";"0,00";"1227,62";"0,00";"1227,62";"-0,36 %";
"29.04.1991";"0,00";"1229,01";"0,00";"1229,01";"+0,11 %";
