Datum,Schlusskurs
2020-04-01,4243.12
2020-03-31,4416.97
2020-03-30,4363.68
2020-03-27,4282.13
2020-03-26,4445.92
2020-03-25,4389.6
2020-03-24,4312.38
2020-03-23,3885.87
2020-03-20,3969.36
2020-03-19,3828.28
2020-03-18,3753.08
2020-03-17,3973.66
2020-03-16,3886.24
2020-03-13,4103.92
2020-03-12,4072.35
2020-03-11,4640.31
2020-03-10,4656.77
2020-03-09,4723.32
2020-03-06,5130.98
2020-03-05,5309.98
2020-03-04,5393.8
2020-03-03,5330.32
2020-03-02,5273.53
2020-02-28,5287.76
2020-02-27,5499.98
2020-02-26,5681.34
2020-02-25,5688.2
2020-02-24,5797.14
2020-02-21,6039.07
2020-02-20,6078.56
2020-02-19,6134.21
2020-02-18,6086.13
2020-02-17,6131.79
2020-02-14,6114.27
2020-02-13,6114.74
2020-02-12,6116.31
2020-02-11,6061.94
2020-02-10,6002.43
2020-02-07,6011.25
2020-02-06,6038.41
2020-02-05,6011.95
2020-02-04,5924.26
2020-02-03,5818.74
2020-01-31,5790.54
2020-01-30,5868.67
2020-01-29,5952.47
2020-01-28,5942.97
2020-01-27,5889.92
2020-01-24,6055.81
2020-01-23,5971.84
2020-01-22,6028.64
2020-01-21,6046.53
2020-01-20,6043.44
2020-01-17,6033.27
2020-01-16,5990.13
2020-01-15,5991.41
2020-01-14,6002.2
2020-01-13,5999.99
2020-01-10,6014.16
2020-01-09,6019.41
2020-01-08,5941.4
2020-01-07,5899.76
2020-01-06,5855.23
2020-01-03,5896.33
2020-01-02,5970.73
2019-12-30,5909.66
2019-12-27,5948.95
2019-12-23,5932.84
2019-12-20,5940.83
2019-12-19,5893.16
2019-12-18,5897.72
2019-12-17,5927.01
2019-12-16,5980.47
2019-12-13,5924.74
2019-12-12,5897.48
2019-12-11,5864.08
2019-12-10,5830.17
2019-12-09,5845.73
2019-12-06,5872.93
2019-12-05,5823.09
2019-12-04,5861.34
2019-12-03,5793.88
2019-12-02,5782.91
2019-11-29,5906.48
2019-11-28,5910.59
2019-11-27,5929.1
2019-11-26,5906.5
2019-11-25,5910.97
2019-11-22,5874.13
2019-11-21,5862.45
2019-11-20,5871.57
2019-11-19,5899.67
2019-11-18,5893.38
2019-11-15,5908.88
2019-11-14,5881.42
2019-11-13,5903.66
2019-11-12,5927.51
2019-11-11,5889.52
2019-11-08,5902.99
2019-11-07,5930.17
2019-11-06,5881.27
2019-11-05,5867.27
2019-11-04,5861.81
2019-11-01,5783.62
2019-10-31,5741.56
2019-10-30,5760.94
2019-10-29,5774.06
2019-10-28,5774.99
2019-10-25,5753.93
2019-10-24,5743.93
2019-10-23,5710.95
2019-10-22,5691.53
2019-10-21,5688.53
2019-10-18,5637.5
2019-10-17,5647.03
2019-10-16,5653.79
2019-10-15,5635.8
2019-10-14,5571.89
2019-10-11,5583.08
2019-10-10,5428.04
2019-10-09,5396.83
2019-10-08,5341.47
2019-10-07,5398.24
2019-10-04,5360.49
2019-10-02,5321.41
2019-10-01,5472.5
2019-09-30,5545.79
2019-09-27,5524.76
2019-09-26,5483.53
2019-09-25,5459.27
2019-09-24,5491.83
2019-09-23,5507.53
2019-09-20,5563.61
2019-09-19,5559.01
2019-09-18,5528.65
2019-09-17,5521.07
2019-09-16,5524.54
2019-09-13,5563.88
2019-09-12,5537.88
2019-09-11,5515.09
2019-09-10,5474.8
2019-09-09,5455.74
2019-09-06,5440.35
2019-09-05,5411.38
2019-09-04,5365.96
2019-09-03,5314.98
2019-09-02,5334.13
2019-08-30,5327.67
2019-08-29,5285.29
2019-08-28,5223.74
2019-08-27,5236.69
2019-08-26,5204.56
2019-08-23,5183.78
2019-08-22,5244.29
2019-08-21,5269.2
2019-08-20,5201.49
2019-08-19,5230.15
2019-08-16,5162.01
2019-08-15,5095.02
2019-08-14,5130.72
2019-08-13,5245.67
2019-08-12,5214.22
2019-08-09,5220.52
2019-08-08,5288.21
2019-08-07,5201.03
2019-08-06,5164.34
2019-08-05,5204.76
2019-08-02,5300.27
2019-08-01,5470.23
2019-07-31,5441.61
2019-07-30,5422.95
2019-07-29,5543.59
2019-07-26,5544.68
2019-07-25,5518.87
2019-07-24,5590.65
2019-07-23,5576.3
2019-07-22,5486.42
2019-07-19,5473.32
2019-07-18,5458.94
2019-07-17,5509.46
2019-07-16,5549.62
2019-07-15,5530.14
2019-07-12,5501.56
2019-07-11,5505.49
2019-07-10,5523.92
2019-07-09,5552.11
2019-07-08,5599.86
2019-07-05,5611.03
2019-07-04,5638.43
2019-07-03,5632.33
2019-07-02,5592.36
2019-07-01,5589.98
2019-06-28,5535.26
2019-06-27,5478.22
2019-06-26,5466.74
2019-06-25,5459.2
2019-06-24,5479.79
2019-06-21,5508.97
2019-06-20,5516.06
2019-06-19,5494.98
2019-06-18,5506.09
2019-06-17,5396.37
2019-06-14,5400.79
2019-06-13,5433.1
2019-06-12,5409.09
2019-06-11,5426.95
2019-06-07,5377.74
2019-06-06,5336.35
2019-06-05,5348.46
2019-06-04,5343.62
2019-06-03,5264.55
2019-05-31,5235.06
2019-05-30,5315.81
2019-05-29,5287.06
2019-05-28,5372.0
2019-05-27,5391.91
2019-05-24,5365.07
2019-05-23,5339.94
2019-05-22,5453.18
2019-05-21,5441.38
2019-05-20,5395.22
2019-05-17,5485.93
2019-05-16,5529.4
2019-05-15,5449.1
2019-05-14,5410.66
2019-05-13,5358.53
2019-05-10,5440.96
2019-05-09,5407.01
2019-05-08,5524.04
2019-05-07,5486.26
2019-05-06,5574.08
2019-05-03,5649.76
2019-05-02,5618.91
2019-04-30,5626.34
2019-04-29,5618.85
2019-04-26,5631.44
2019-04-25,5616.55
2019-04-24,5630.62
2019-04-23,5594.82
2019-04-18,5588.87
2019-04-17,5557.55
2019-04-16,5533.68
2019-04-15,5496.52
2019-04-12,5489.56
2019-04-11,5459.83
2019-04-10,5446.32
2019-04-09,5420.92
2019-04-08,5474.45
2019-04-05,5495.7
2019-04-04,5485.67
2019-04-03,5470.35
2019-04-02,5378.9
2019-04-01,5345.5
2019-03-29,5274.0
2019-03-28,5241.66
2019-03-27,5237.48
2019-03-26,5237.68
2019-03-25,5204.28
2019-03-22,5212.31
2019-03-21,5297.53
2019-03-20,5322.26
2019-03-19,5406.89
2019-03-18,5346.65
2019-03-15,5359.78
2019-03-14,5314.81
2019-03-13,5308.0
2019-03-12,5285.81
2019-03-11,5294.77
2019-03-08,5255.5
2019-03-07,5282.86
2019-03-06,5317.21
2019-03-05,5332.43
2019-03-04,5319.46
2019-03-01,5323.72
2019-02-28,5284.27
2019-02-27,5271.12
2019-02-26,5295.45
2019-02-25,5279.38
2019-02-22,5257.6
2019-02-21,5243.72
2019-02-20,5233.87
2019-02-19,5191.26
2019-02-18,5186.68
2019-02-15,5186.82
2019-02-14,5090.52
2019-02-13,5126.2
2019-02-12,5107.21
2019-02-11,5055.85
2019-02-08,5006.34
2019-02-07,5059.17
2019-02-06,5198.09
2019-02-05,5217.85
2019-02-04,5129.95
2019-02-01,5132.12
2019-01-31,5128.61
2019-01-30,5149.51
2019-01-29,5166.62
2019-01-28,5162.7
2019-01-25,5195.62
2019-01-24,5125.8
2019-01-23,5098.79
2019-01-22,5107.35
2019-01-21,5128.57
2019-01-18,5160.51
2019-01-17,5028.37
2019-01-16,5034.18
2019-01-15,5016.01
2019-01-14,4999.49
2019-01-11,5014.02
2019-01-10,5029.74
2019-01-09,5016.72
2019-01-08,4975.58
2019-01-07,4949.7
2019-01-04,4958.86
2019-01-03,4797.2
2019-01-02,4872.51
2018-12-28,4862.74
2018-12-27,4781.01
2018-12-21,4897.21
2018-12-20,4886.76
2018-12-19,4958.2
2018-12-18,4946.53
2018-12-17,4960.94
2018-12-14,5005.17
2018-12-13,5032.32
2018-12-12,5034.5
2018-12-11,4965.9
2018-12-10,4892.92
2018-12-07,4969.39
2018-12-06,4979.93
2018-12-05,5159.24
2018-12-04,5221.47
2018-12-03,5281.41
2018-11-30,5185.5
2018-11-29,5204.38
2018-11-28,5204.68
2018-11-27,5209.39
2018-11-26,5230.4
2018-11-23,5155.76
2018-11-22,5130.8
2018-11-21,5179.48
2018-11-20,5097.59
2018-11-19,5179.65
2018-11-16,5224.08
2018-11-15,5229.92
2018-11-14,5257.03
2018-11-13,5284.53
2018-11-12,5216.91
2018-11-09,5310.75
2018-11-08,5309.91
2018-11-07,5333.76
2018-11-06,5290.11
2018-11-05,5295.0
2018-11-02,5306.07
2018-11-01,5282.83
2018-10-31,5273.14
2018-10-30,5199.38
2018-10-29,5221.54
2018-10-26,5159.42
2018-10-25,5208.48
2018-10-24,5155.28
2018-10-23,5193.35
2018-10-22,5308.53
2018-10-19,5322.12
2018-10-18,5338.41
2018-10-17,5396.37
2018-10-16,5424.71
2018-10-15,5349.91
2018-10-12,5308.29
2018-10-11,5315.45
2018-10-10,5395.21
2018-10-09,5517.15
2018-10-08,5503.3
2018-10-05,5579.19
2018-10-04,5640.1
2018-10-02,5660.11
2018-10-01,5683.81
2018-09-28,5641.29
2018-09-27,5728.29
2018-09-26,5705.39
2018-09-25,5700.22
2018-09-24,5689.24
2018-09-21,5726.12
2018-09-20,5678.03
2018-09-19,5628.53
2018-09-18,5600.27
2018-09-17,5572.05
2018-09-14,5584.91
2018-09-13,5553.23
2018-09-12,5542.52
2018-09-11,5513.95
2018-09-10,5521.35
2018-09-07,5509.05
2018-09-06,5507.03
2018-09-05,5546.28
2018-09-04,5624.48
2018-09-03,5687.21
2018-08-31,5695.34
2018-08-30,5755.31
2018-08-29,5786.38
2018-08-28,5770.59
2018-08-27,5775.61
2018-08-24,5709.38
2018-08-23,5696.04
2018-08-22,5705.31
2018-08-21,5704.75
2018-08-20,5680.25
2018-08-17,5624.63
2018-08-16,5636.89
2018-08-15,5602.73
2018-08-14,5692.95
2018-08-13,5692.89
2018-08-10,5723.11
2018-08-09,5839.09
2018-08-08,5819.48
2018-08-07,5826.23
2018-08-06,5803.2
2018-08-03,5811.29
2018-08-02,5779.3
2018-08-01,5867.16
2018-07-31,5898.69
2018-07-30,5895.32
2018-07-27,5923.97
2018-07-26,5900.41
2018-07-25,5794.51
2018-07-24,5845.2
2018-07-23,5780.34
2018-07-20,5786.26
2018-07-19,5843.77
2018-07-18,5880.46
2018-07-17,5832.37
2018-07-16,5786.07
2018-07-13,5776.72
2018-07-12,5754.72
2018-07-11,5719.79
2018-07-10,5808.56
2018-07-09,5778.18
2018-07-06,5756.2
2018-07-05,5741.51
2018-07-04,5673.95
2018-07-03,5688.47
2018-07-02,5637.35
2018-06-29,5668.6
2018-06-28,5609.28
2018-06-27,5688.23
2018-06-26,5635.59
2018-06-25,5652.17
2018-06-22,5794.68
2018-06-21,5763.45
2018-06-20,5847.86
2018-06-19,5839.94
2018-06-18,5911.87
2018-06-15,5993.14
2018-06-14,6037.53
2018-06-13,5937.98
2018-06-12,5915.07
2018-06-11,5915.63
2018-06-08,5880.32
2018-06-07,5900.57
2018-06-06,5909.22
2018-06-05,5889.14
2018-06-04,5881.35
2018-06-01,5860.01
2018-05-31,5804.98
2018-05-30,5887.33
2018-05-29,5833.2
2018-05-28,5923.64
2018-05-25,5971.67
2018-05-24,5934.4
2018-05-23,5990.44
2018-05-22,6079.31
2018-05-18,6038.64
2018-05-17,6085.5
2018-05-16,6033.34
2018-05-15,6020.94
2018-05-14,6024.97
2018-05-11,6035.78
2018-05-10,6045.92
2018-05-09,6041.09
2018-05-08,6028.75
2018-05-07,6045.14
2018-05-04,6002.25
2018-05-03,5952.66
2018-05-02,6005.52
2018-04-30,5916.24
2018-04-27,5905.28
2018-04-26,5869.19
2018-04-25,5840.15
2018-04-24,5907.01
2018-04-23,5917.11
2018-04-20,5902.09
2018-04-19,5914.74
2018-04-18,5925.79
2018-04-17,5923.12
2018-04-16,5831.67
2018-04-13,5857.88
2018-04-12,5844.98
2018-04-11,5787.86
2018-04-10,5836.53
2018-04-09,5774.53
2018-04-06,5764.74
2018-04-05,5813.94
2018-04-04,5649.85
2018-04-03,5670.9
2018-03-29,5715.45
2018-03-28,5641.73
2018-03-27,5655.96
2018-03-26,5569.23
2018-03-23,5616.03
2018-03-22,5717.03
2018-03-21,5815.81
2018-03-20,5814.95
2018-03-19,5772.28
2018-03-16,5853.81
2018-03-15,5833.09
2018-03-14,5782.15
2018-03-13,5774.26
2018-03-12,5867.5
2018-03-09,5833.68
2018-03-08,5837.93
2018-03-07,5785.91
2018-03-06,5723.68
2018-03-05,5712.82
2018-03-02,5629.06
2018-03-01,5759.86
2018-02-28,5875.6
2018-02-27,5901.47
2018-02-26,5918.47
2018-02-23,5897.98
2018-02-22,5889.32
2018-02-21,5893.3
2018-02-20,5901.38
2018-02-19,5853.11
2018-02-16,5884.51
2018-02-15,5834.53
2018-02-14,5831.33
2018-02-13,5763.91
2018-02-12,5804.71
2018-02-09,5721.86
2018-02-08,5793.91
2018-02-07,5949.95
2018-02-06,5856.34
2018-02-05,5995.77
2018-02-02,6041.84
2018-02-01,6145.24
2018-01-31,6250.68
2018-01-30,6254.57
2018-01-29,6314.65
2018-01-26,6322.08
2018-01-25,6302.28
2018-01-24,6357.43
2018-01-23,6426.09
2018-01-22,6380.63
2018-01-19,6367.2
2018-01-18,6294.68
