Date, Open, High, Low, Close
04/02/20, 44076.24, 45370.92, 44076.24, 45060.69
04/01/20, 43836.82, 44027.53, 42947.12, 43732.44
03/31/20, 43827.69, 44572.29, 43681.26, 44490.31
03/30/20, 43376.21, 43989.92, 42714.20, 43413.63
03/27/20, 44877.91, 44967.54, 42644.66, 42946.83
03/26/20, 43307.19, 45391.38, 43044.95, 45046.35
03/25/20, 42073.75, 44206.33, 42073.75, 43278.25
03/24/20, 38914.50, 41168.39, 38914.50, 41149.35
03/23/20, 39157.94, 39157.94, 37461.68, 38267.21
03/20/20, 39021.90, 41195.52, 39021.90, 40272.00
03/19/20, 38838.12, 39145.18, 37177.92, 37963.01
03/18/20, 40608.87, 40608.87, 38145.51, 38604.88
03/17/20, 41210.79, 41932.24, 40390.38, 41579.58
03/16/20, 43478.75, 43478.75, 38784.34, 40500.23
03/13/20, 45001.17, 45864.16, 44069.10, 44177.63
03/12/20, 47569.83, 47569.83, 44078.60, 44303.47
03/11/20, 49116.90, 50079.01, 48936.28, 49074.09
03/10/20, 49806.79, 50533.83, 49335.97, 49466.01
03/09/20, 50500.67, 50500.67, 48588.67, 48819.55
03/06/20, 52063.84, 52297.42, 51506.05, 52064.72
03/05/20, 53594.79, 53733.79, 52677.14, 52936.27
03/04/20, 52957.85, 53380.81, 52726.05, 52926.75
03/03/20, 52510.34, 53379.42, 52510.34, 52957.85
03/02/20, 52231.98, 52989.69, 51314.89, 51840.09
02/28/20, 52021.01, 52333.76, 50875.08, 51038.18
02/27/20, 54432.16, 54831.73, 53420.58, 53444.83
02/26/20, 54127.05, 55254.92, 53643.21, 55047.20
02/25/20, 55287.78, 55496.51, 54697.96, 54809.51
02/24/20, 56666.33, 56666.33, 54725.19, 54881.56
02/21/20, 57341.85, 57358.13, 56878.16, 57336.21
02/20/20, 58126.87, 58270.49, 57739.20, 57793.03
02/19/20, 57795.34, 58017.50, 57795.34, 57940.97
02/18/20, 57842.10, 57878.51, 57483.61, 57714.66
02/17/20, 58005.42, 58270.72, 57889.61, 58187.96
02/14/20, 57896.59, 57992.30, 57590.01, 57861.76
02/13/20, 57887.44, 58195.12, 57583.81, 57835.69
02/12/20, 57142.91, 57964.56, 56885.58, 57744.13
02/11/20, 57062.46, 57323.73, 56753.77, 56981.20
02/10/20, 57096.95, 57136.42, 56793.69, 56847.74
02/07/20, 57438.34, 57661.96, 57065.26, 57276.49
02/06/20, 57608.34, 57848.74, 57452.07, 57531.49
02/05/20, 56827.61, 57532.53, 56799.09, 57426.20
02/04/20, 56350.35, 56893.23, 56299.92, 56817.03
02/03/20, 56097.74, 56195.65, 55772.41, 55828.49
01/31/20, 56503.60, 56555.31, 55932.89, 56079.54
01/30/20, 55979.35, 56618.28, 55656.57, 56590.93
01/29/20, 56014.78, 56637.55, 55989.53, 56370.72
01/28/20, 55874.93, 56076.08, 55529.33, 55748.24
01/27/20, 56545.16, 56545.16, 55772.87, 55902.94
01/24/20, 57060.85, 57350.51, 57035.31, 57261.04
01/23/20, 57651.79, 57651.79, 56867.91, 56894.67
01/22/20, 58164.96, 58399.67, 57897.75, 57918.89
01/21/20, 58512.47, 58512.47, 57633.44, 57976.39
01/20/20, 59025.17, 59104.61, 58809.06, 58850.41
01/17/20, 58232.72, 59098.56, 58231.40, 59001.87
01/16/20, 58233.07, 58328.90, 57897.94, 58217.43
01/15/20, 57921.93, 58243.29, 57724.33, 58063.59
01/14/20, 57638.66, 57967.13, 57596.98, 57967.13
01/13/20, 57664.96, 57808.70, 57367.06, 57572.72
01/10/20, 57301.46, 57514.58, 57232.64, 57484.84
01/09/20, 57488.65, 57737.93, 57026.21, 57128.68
01/08/20, 57411.77, 57411.77, 57083.30, 57322.33
01/07/20, 57381.63, 57514.58, 56939.81, 57384.41
01/06/20, 57685.74, 57685.74, 57001.91, 57195.35
01/03/20, 57628.29, 57924.20, 57419.75, 57810.00
01/02/20, 57308.67, 57932.18, 57308.67, 57718.00
12/31/19, 57703.56, 57703.56, 57084.10, 57084.10
