Date, Open, High, Low, Close
05/19/20, 5543.59, 5571.40, 5537.02, 5555.85
05/18/20, 5557.99, 5557.99, 5466.88, 5479.35
05/15/20, 5659.12, 5664.25, 5541.95, 5541.95
05/14/20, 5612.97, 5654.70, 5556.81, 5654.70
05/13/20, 5656.19, 5661.18, 5607.77, 5626.25
05/12/20, 5667.42, 5668.36, 5633.82, 5651.67
05/11/20, 5641.53, 5681.68, 5627.19, 5667.93
05/08/20, 5674.47, 5696.31, 5621.94, 5621.94
05/07/20, 5661.95, 5670.34, 5599.82, 5653.16
05/06/20, 5689.78, 5702.58, 5594.81, 5639.27
05/05/20, 5610.00, 5703.96, 5603.40, 5671.67
05/04/20, 5601.39, 5601.39, 5502.05, 5572.09
04/30/20, 5695.13, 5716.88, 5654.96, 5700.71
04/29/20, 5589.27, 5656.01, 5556.23, 5643.97
04/28/20, 5470.83, 5574.98, 5466.47, 5574.98
04/27/20, 5493.21, 5493.21, 5390.97, 5450.45
04/24/20, 5622.76, 5622.76, 5464.98, 5464.98
04/23/20, 5631.84, 5672.08, 5599.55, 5599.55
04/22/20, 5517.67, 5577.91, 5461.94, 5573.75
04/21/20, 5704.30, 5704.30, 5571.08, 5592.25
04/20/20, 5813.93, 5816.90, 5704.20, 5733.65
04/17/20, 5704.40, 5789.97, 5694.94, 5789.97
04/16/20, 5828.76, 5828.76, 5525.60, 5525.60
04/15/20, 5824.76, 5946.05, 5807.68, 5946.05
04/14/20, 5657.76, 5780.88, 5640.85, 5780.88
04/13/20, 5551.96, 5610.98, 5521.49, 5610.98
04/08/20, 5593.71, 5593.71, 5498.54, 5510.83
04/07/20, 5694.68, 5713.63, 5597.98, 5650.01
04/06/20, 5380.51, 5570.81, 5345.94, 5570.81
04/03/20, 5370.85, 5372.70, 5315.40, 5346.97
04/02/20, 5280.13, 5342.31, 5247.57, 5342.31
04/01/20, 5321.79, 5408.52, 5290.85, 5408.52
03/31/20, 5227.37, 5340.09, 5226.27, 5321.23
03/30/20, 5234.99, 5234.99, 4984.79, 5131.16
03/27/20, 5493.58, 5641.94, 5266.62, 5266.62
03/26/20, 5128.27, 5401.58, 5076.26, 5401.58
03/25/20, 5006.76, 5073.58, 4964.00, 5027.76
03/24/20, 4817.06, 4864.86, 4771.78, 4774.27
03/20/20, 4761.89, 4936.20, 4677.66, 4778.76
03/19/20, 4673.58, 4751.72, 4039.15, 4623.42
03/16/20, 5506.96, 5533.17, 5335.37, 5335.37
03/13/20, 5793.94, 5878.40, 5097.90, 5793.94
03/12/20, 6235.85, 6235.85, 5697.13, 5736.27
03/11/20, 6384.28, 6495.71, 6336.68, 6353.26
03/10/20, 6165.82, 6387.53, 6103.75, 6318.38
03/09/20, 6575.54, 6575.54, 6312.61, 6312.61
03/06/20, 6871.14, 6871.14, 6745.32, 6770.38
03/05/20, 6899.02, 6941.20, 6872.97, 6884.77
03/04/20, 6791.14, 6867.26, 6710.18, 6867.26
03/03/20, 6854.90, 6886.11, 6790.54, 6790.54
03/02/20, 6759.37, 6866.13, 6700.75, 6749.28
02/28/20, 6858.91, 6858.91, 6769.97, 6787.91
02/27/20, 6890.02, 6979.57, 6890.02, 6967.84
02/26/20, 7101.88, 7101.88, 6879.09, 6909.84
02/24/20, 7267.86, 7270.47, 7180.10, 7187.44
02/21/20, 7430.57, 7431.03, 7366.80, 7369.78
02/20/20, 7426.91, 7472.99, 7413.00, 7413.00
02/19/20, 7319.99, 7396.94, 7319.99, 7396.94
02/18/20, 7329.03, 7346.00, 7311.50, 7322.89
02/17/20, 7305.66, 7348.04, 7292.95, 7326.85
02/14/20, 7405.15, 7405.15, 7282.00, 7282.00
02/13/20, 7390.01, 7403.12, 7332.91, 7403.12
02/12/20, 7435.25, 7440.31, 7383.10, 7383.10
02/11/20, 7444.66, 7444.66, 7403.23, 7439.40
02/10/20, 7510.84, 7510.84, 7414.01, 7430.86
02/07/20, 7447.33, 7507.20, 7429.61, 7507.20
02/06/20, 7373.59, 7506.51, 7373.59, 7506.51
02/05/20, 7291.44, 7352.85, 7281.42, 7352.85
02/04/20, 7172.41, 7276.40, 7158.20, 7226.90
02/03/20, 7206.22, 7219.61, 7129.19, 7137.03
01/31/20, 7413.17, 7446.26, 7200.79, 7200.79
01/30/20, 7466.45, 7484.65, 7392.68, 7392.68
01/29/20, 7472.53, 7472.53, 7423.69, 7462.31
01/28/20, 7563.12, 7563.12, 7468.70, 7468.70
01/27/20, 7616.90, 7624.37, 7580.67, 7587.63
01/24/20, 7622.12, 7635.62, 7581.12, 7623.41
01/23/20, 7503.64, 7616.35, 7495.60, 7616.35
01/22/20, 7469.14, 7478.10, 7425.86, 7468.73
01/21/20, 7570.20, 7586.59, 7442.13, 7466.65
01/20/20, 7727.45, 7727.45, 7513.95, 7552.60
