Date,Rate
1990-01-01,
1990-01-02,7.812
1990-01-03,7.814
1990-01-04,7.815
1990-01-05,7.814
1990-01-08,7.8125
1990-01-09,7.812
1990-01-10,7.809
1990-01-11,7.8105
1990-01-12,7.8095
1990-01-15,
1990-01-16,7.81
1990-01-17,7.811
1990-01-18,7.8105
1990-01-19,7.81
1990-01-22,7.8105
1990-01-23,7.8105
1990-01-24,7.813
1990-01-25,7.813
1990-01-26,7.8115
1990-01-29,7.8115
1990-01-30,7.812
1990-01-31,7.812
1990-02-01,7.812
1990-02-02,7.812
1990-02-05,7.811
1990-02-06,7.811
1990-02-07,7.8115
1990-02-08,7.812
1990-02-09,7.811
1990-02-12,7.812
1990-02-13,7.8115
1990-02-14,7.81
1990-02-15,7.8095
1990-02-16,7.81
1990-02-19,
1990-02-20,7.81
1990-02-21,7.809
1990-02-22,7.8075
1990-02-23,7.809
1990-02-26,7.81
1990-02-27,7.8085
1990-02-28,7.809
1990-03-01,7.8095
1990-03-02,7.811
1990-03-05,7.8115
1990-03-06,7.811
1990-03-07,7.812
1990-03-08,7.8125
1990-03-09,7.813
1990-03-12,7.814
1990-03-13,7.812
1990-03-14,7.811
1990-03-15,7.812
1990-03-16,7.812
1990-03-19,7.815
1990-03-20,7.815
1990-03-21,7.814
1990-03-22,7.814
1990-03-23,7.814
1990-03-26,7.814
1990-03-27,7.815
1990-03-28,7.817
1990-03-29,7.814
1990-03-30,7.8095
1990-04-02,7.804
1990-04-03,7.801
1990-04-04,7.8025
1990-04-05,7.801
1990-04-06,7.8015
1990-04-09,7.7995
1990-04-10,7.7995
1990-04-11,7.797
1990-04-12,7.798
1990-04-13,7.798
1990-04-16,7.798
1990-04-17,7.796
1990-04-18,7.794
1990-04-19,7.7935
1990-04-20,7.7935
1990-04-23,7.7935
1990-04-24,7.791
1990-04-25,7.791
1990-04-26,7.79
1990-04-27,7.792
1990-04-30,7.794
1990-05-01,7.7915
1990-05-02,7.791
1990-05-03,7.792
1990-05-04,7.793
1990-05-07,7.793
1990-05-08,7.7935
1990-05-09,7.791
1990-05-10,7.791
1990-05-11,7.791
1990-05-14,7.791
1990-05-15,7.79
1990-05-16,7.788
1990-05-17,7.7875
1990-05-18,7.7875
1990-05-21,7.785
1990-05-22,7.782
1990-05-23,7.781
1990-05-24,7.7825
1990-05-25,7.784
1990-05-28,
1990-05-29,7.782
1990-05-30,7.7805
1990-05-31,7.782
1990-06-01,7.785
1990-06-04,7.785
1990-06-05,7.7835
1990-06-06,7.781
1990-06-07,7.7785
1990-06-08,7.7825
1990-06-11,7.7825
1990-06-12,7.7845
1990-06-13,7.7835
1990-06-14,7.785
1990-06-15,7.7865
1990-06-18,7.7845
1990-06-19,7.789
1990-06-20,7.79
1990-06-21,7.789
1990-06-22,7.7865
1990-06-25,7.7855
1990-06-26,7.7865
1990-06-27,7.789
1990-06-28,7.7895
1990-06-29,7.7885
1990-07-02,7.787
1990-07-03,7.7875
1990-07-04,
1990-07-05,7.782
1990-07-06,7.7795
1990-07-09,7.7735
1990-07-10,7.768
1990-07-11,7.772
1990-07-12,7.773
1990-07-13,7.768
1990-07-16,7.768
1990-07-17,7.771
1990-07-18,7.7675
1990-07-19,7.768
1990-07-20,7.767
1990-07-23,7.7645
1990-07-24,7.7648
1990-07-25,7.762
1990-07-26,7.762
1990-07-27,7.7648
1990-07-30,7.7645
1990-07-31,7.7645
1990-08-01,7.765
1990-08-02,7.767
1990-08-03,7.767
1990-08-06,7.773
1990-08-07,7.774
1990-08-08,7.776
1990-08-09,7.7735
1990-08-10,7.7735
1990-08-13,7.74
1990-08-14,7.77
1990-08-15,7.772
1990-08-16,7.771
1990-08-17,7.771
1990-08-20,7.7735
1990-08-21,7.779
1990-08-22,7.7825
1990-08-23,7.7805
1990-08-24,7.7755
1990-08-27,7.7735
1990-08-28,7.772
1990-08-29,7.771
1990-08-30,7.763
1990-08-31,7.763
1990-09-03,
1990-09-04,7.7665
1990-09-05,7.7678
1990-09-06,7.7678
1990-09-07,7.7678
1990-09-10,7.7678
1990-09-11,7.7715
1990-09-12,7.7715
1990-09-13,7.77
1990-09-14,7.7675
