Date,Rate
1990-01-01,
1990-01-02,16.96
1990-01-03,16.99
1990-01-04,16.94
1990-01-05,16.93
1990-01-08,16.93
1990-01-09,16.93
1990-01-10,16.92
1990-01-11,16.93
1990-01-12,16.94
1990-01-15,
1990-01-16,16.97
1990-01-17,16.97
1990-01-18,16.98
1990-01-19,16.97
1990-01-22,17.03
1990-01-23,17.0
1990-01-24,16.98
1990-01-25,16.99
1990-01-26,16.97
1990-01-29,16.97
1990-01-30,16.96
1990-01-31,16.97
1990-02-01,16.96
1990-02-02,16.96
1990-02-05,16.95
1990-02-06,16.95
1990-02-07,16.95
1990-02-08,16.96
1990-02-09,16.96
1990-02-12,16.99
1990-02-13,16.98
1990-02-14,16.97
1990-02-15,16.97
1990-02-16,16.96
1990-02-19,
1990-02-20,17.0
1990-02-21,17.03
1990-02-22,17.0
1990-02-23,17.02
1990-02-26,17.05
1990-02-27,17.07
1990-02-28,17.07
1990-03-01,17.07
1990-03-02,17.08
1990-03-05,17.05
1990-03-06,17.07
1990-03-07,17.05
1990-03-08,17.06
1990-03-09,17.1
1990-03-12,17.09
1990-03-13,17.1
1990-03-14,17.09
1990-03-15,17.07
1990-03-16,17.08
1990-03-19,17.11
1990-03-20,17.09
1990-03-21,17.13
1990-03-22,17.16
1990-03-23,17.16
1990-03-26,17.22
1990-03-27,17.21
1990-03-28,17.18
1990-03-29,17.17
1990-03-30,17.22
1990-04-02,17.23
1990-04-03,17.24
1990-04-04,17.23
1990-04-05,17.24
1990-04-06,17.24
1990-04-09,17.24
1990-04-10,17.28
1990-04-11,17.25
1990-04-12,17.25
1990-04-13,17.25
1990-04-16,17.25
1990-04-17,17.33
1990-04-18,17.3
1990-04-19,17.29
1990-04-20,17.34
1990-04-23,17.36
1990-04-24,17.35
1990-04-25,17.34
1990-04-26,17.39
1990-04-27,17.39
1990-04-30,17.39
1990-05-01,17.38
1990-05-02,17.39
1990-05-03,17.37
1990-05-04,17.33
1990-05-07,17.33
1990-05-08,17.35
1990-05-09,17.32
1990-05-10,17.3
1990-05-11,17.29
1990-05-14,17.31
1990-05-15,17.31
1990-05-16,17.31
1990-05-17,17.33
1990-05-18,17.25
1990-05-21,17.29
1990-05-22,17.3
1990-05-23,17.29
1990-05-24,17.31
1990-05-25,17.3
1990-05-28,
1990-05-29,17.37
1990-05-30,17.35
1990-05-31,17.36
1990-06-01,17.38
1990-06-04,17.44
1990-06-05,17.42
1990-06-06,17.4
1990-06-07,17.38
1990-06-08,17.44
1990-06-11,17.46
1990-06-12,17.42
1990-06-13,17.38
1990-06-14,17.42
1990-06-15,17.43
1990-06-18,17.42
1990-06-19,17.42
1990-06-20,17.42
1990-06-21,17.42
1990-06-22,17.45
1990-06-25,17.44
1990-06-26,17.4
1990-06-27,17.42
1990-06-28,17.45
1990-06-29,17.43
1990-07-02,17.45
1990-07-03,17.45
1990-07-04,
1990-07-05,17.42
1990-07-06,17.42
1990-07-09,17.38
1990-07-10,17.36
1990-07-11,17.39
1990-07-12,17.47
1990-07-13,17.42
1990-07-16,17.45
1990-07-17,17.44
1990-07-18,17.39
1990-07-19,17.42
1990-07-20,17.4
1990-07-23,17.42
1990-07-24,17.42
1990-07-25,17.42
1990-07-26,17.43
1990-07-27,17.4
1990-07-30,17.35
1990-07-31,17.35
1990-08-01,17.37
1990-08-02,17.38
1990-08-03,17.35
1990-08-06,17.28
1990-08-07,17.29
1990-08-08,17.34
1990-08-09,17.35
1990-08-10,17.39
1990-08-13,17.35
1990-08-14,17.34
1990-08-15,17.28
1990-08-16,17.37
1990-08-17,17.26
1990-08-20,17.28
1990-08-21,17.32
1990-08-22,17.32
1990-08-23,17.27
1990-08-24,17.3
1990-08-27,17.39
1990-08-28,17.36
1990-08-29,17.38
1990-08-30,17.48
1990-08-31,17.52
1990-09-03,
1990-09-04,17.64
1990-09-05,17.54
1990-09-06,17.56
1990-09-07,17.68
1990-09-10,17.76
1990-09-11,17.77
1990-09-12,17.76
1990-09-13,17.8
1990-09-14,17.85
1990-09-17,17.86
1990-09-18,17.83
1990-09-19,17.85
1990-09-20,18.0
1990-09-21,18.12
1990-09-24,18.06
1990-09-25,18.08
1990-09-26,18.09
1990-09-27,18.08
1990-09-28,18.0
1990-10-01,18.06
1990-10-02,18.08
1990-10-03,18.01
1990-10-04,18.07
1990-10-05,18.07
1990-10-08,
1990-10-09,18.04
1990-10-10,18.05
1990-10-11,18.0
1990-10-12,17.99
1990-10-15,18.0
1990-10-16,18.05
1990-10-17,18.07
1990-10-18,18.08
1990-10-19,18.1
1990-10-22,18.08
1990-10-23,18.1
1990-10-24,18.12
1990-10-25,18.1
1990-10-26,18.1
1990-10-29,18.15
1990-10-30,18.14
1990-10-31,18.16
1990-11-01,18.1
1990-11-02,18.08
1990-11-05,18.1
1990-11-06,18.1
1990-11-07,18.09
1990-11-08,18.13
1990-11-09,18.13
1990-11-12,
1990-11-13,18.14
1990-11-14,18.1
1990-11-15,18.08
1990-11-16,18.09
1990-11-19,18.07
1990-11-20,18.07
1990-11-21,18.02
1990-11-22,
1990-11-23,18.05
1990-11-26,18.08
1990-11-27,18.1
1990-11-28,18.13
1990-11-29,18.12
1990-11-30,18.17
1990-12-03,18.16
1990-12-04,18.11
1990-12-05,18.09
1990-12-06,18.12
1990-12-07,18.1
1990-12-10,18.09
1990-12-11,18.08
1990-12-12,18.06
1990-12-13,18.09
1990-12-14,18.11
1990-12-17,18.14
1990-12-18,18.15
1990-12-19,18.16
1990-12-20,18.18
1990-12-21,18.2
1990-12-24,18.2
1990-12-25,
1990-12-26,
1990-12-27,
1990-12-28,18.12
1990-12-31,18.13
1991-01-01,
1991-01-02,18.1
1991-01-03,18.12
1991-01-04,18.13
1991-01-07,18.17
1991-01-08,18.22
1991-01-09,18.2
1991-01-10,18.24
1991-01-11,18.29
1991-01-14,18.34
1991-01-15,18.39
1991-01-16,18.38
1991-01-17,18.37
1991-01-18,18.37
1991-01-21,
1991-01-22,18.41
1991-01-23,18.42
1991-01-24,18.42
1991-01-25,18.4
1991-01-28,18.45
1991-01-29,18.49
1991-01-30,18.6
1991-01-31,18.61
1991-02-01,18.6
1991-02-04,18.59
1991-02-05,18.6
1991-02-06,18.58
1991-02-07,18.69
1991-02-08,18.76
1991-02-11,18.71
1991-02-12,18.72
1991-02-13,18.75
1991-02-14,18.83
1991-02-15,18.9
1991-02-18,
1991-02-19,19.1
1991-02-20,19.1
1991-02-21,19.08
1991-02-22,19.05
1991-02-25,19.08
1991-02-26,19.06
1991-02-27,19.08
1991-02-28,19.06
1991-03-01,19.08
1991-03-04,19.06
1991-03-05,19.04
1991-03-06,19.03
1991-03-07,19.04
1991-03-08,19.09
1991-03-11,19.11
1991-03-12,19.1
1991-03-13,19.12
1991-03-14,19.14
1991-03-15,19.16
1991-03-18,19.23
1991-03-19,19.3
1991-03-20,19.35
1991-03-21,19.3
1991-03-22,19.21
1991-03-25,19.38
1991-03-26,19.59
1991-03-27,19.59
1991-03-28,19.57
1991-03-29,19.61
1991-04-01,19.61
1991-04-02,19.66
1991-04-03,19.62
1991-04-04,19.68
1991-04-05,19.7
1991-04-08,19.82
1991-04-09,19.73
1991-04-10,19.75
1991-04-11,19.8
1991-04-12,19.8
1991-04-15,19.77
1991-04-16,19.73
1991-04-17,19.72
1991-04-18,19.9
1991-04-19,20.07
1991-04-22,20.25
1991-04-23,20.23
1991-04-24,20.2
1991-04-25,20.25
1991-04-26,20.23
1991-04-29,20.24
1991-04-30,20.18
1991-05-01,20.2
1991-05-02,20.21
1991-05-03,20.21
1991-05-06,20.35
1991-05-07,20.38
1991-05-08,20.35
1991-05-09,20.46
1991-05-10,20.46
1991-05-13,20.48
1991-05-14,20.48
1991-05-15,20.44
1991-05-16,20.48
1991-05-17,20.49
1991-05-20,20.7
1991-05-21,20.65
1991-05-22,20.66
1991-05-23,20.67
1991-05-24,20.7
1991-05-27,
1991-05-28,20.69
1991-05-29,20.69
1991-05-30,20.77
1991-05-31,20.89
1991-06-03,21.0
1991-06-04,21.0
1991-06-05,21.01
1991-06-06,21.0
1991-06-07,21.06
1991-06-10,21.01
1991-06-11,21.03
1991-06-12,20.94
1991-06-13,21.0
1991-06-14,20.99
1991-06-17,21.16
1991-06-18,21.16
1991-06-19,21.14
1991-06-20,21.09
1991-06-21,21.08
1991-06-24,21.15
1991-06-25,21.12
1991-06-26,21.09
1991-06-27,21.08
1991-06-28,21.13
1991-07-01,23.09
1991-07-02,23.12
1991-07-03,26.28
1991-07-04,
1991-07-05,26.07
1991-07-08,25.86
1991-07-09,25.86
1991-07-10,25.92
1991-07-11,25.89
1991-07-12,25.88
1991-07-15,25.9
1991-07-16,25.96
1991-07-17,25.96
1991-07-18,25.87
1991-07-19,25.87
1991-07-22,25.77
1991-07-23,25.78
1991-07-24,25.75
1991-07-25,25.69
1991-07-26,25.72
1991-07-29,25.76
1991-07-30,25.72
1991-07-31,25.76
1991-08-01,25.74
